key_studentInfo,final_result,disability,module_presentation_length,gender,highest_education,imd_band,num_of_prev_attempts,region,studied_credits,age_band,Nombre de date_submitted,Moyenne de score,Moyenne pondérée de score,date_registration,Nombre de date,sum_click,Nombre de activity_type
100064FFF2013J,Pass,N,268,F,A Level or Equivalent,0-10%,0,West Midlands Region,60,35-55,12,"89,33",92,-136,1632,6514,242
100282BBB2013J,Withdrawn,N,268,F,Lower Than A Level,20-30%,1,Wales,120,0-35,1,"78,00",78,-54,16,42,9
100561DDD2014J,Fail,N,262,M,Lower Than A Level,70-80%,1,East Anglian Region,60,0-35,6,"73,17",72.5,-35,466,950,95
100788CCC2014J,Distinction,N,269,M,HE Qualification,80-90%,1,Scotland,60,0-35,4,"90,00",87.72,-103,440,1261,78
100788FFF2013J,Pass,N,268,M,HE Qualification,80-90%,0,Scotland,90,0-35,12,"88,58",79.15897670169026,-82,820,3134,168
100893AAA2013J,Pass,N,268,M,A Level or Equivalent,20-30%,0,Yorkshire Region,60,0-35,5,"68,40",68.7,-62,243,744,47
101116AAA2014J,Pass,N,269,F,Lower Than A Level,60-70%,0,East Anglian Region,60,35-55,5,"82,60",82.9,-80,662,1769,64
101217FFF2013J,Withdrawn,Y,268,M,A Level or Equivalent,40-50%,1,London Region,90,35-55,1,"14,00",14,-121,156,332,64
101217FFF2014J,Fail,Y,269,M,A Level or Equivalent,40-50%,2,London Region,60,35-55,1,"68,00",68,-44,239,385,57
101279DDD2014J,Fail,N,262,F,A Level or Equivalent,0-10%,0,Yorkshire Region,60,35-55,1,"55,00",55,-144,52,112,27
101420FFF2013J,Pass,N,268,M,Lower Than A Level,30-40%,0,Yorkshire Region,120,0-35,12,"90,33",92.64458656920968,-132,1123,5766,232
101781AAA2013J,Pass,N,268,M,Lower Than A Level,80-90%,0,South Region,60,35-55,5,"72,60",71.6,-103,913,4104,99
102028FFF2013J,Distinction,N,268,M,A Level or Equivalent,90-100%,1,South Region,60,35-55,12,"90,25",86.6180904522613,-122,1183,4382,256
102067BBB2014J,Withdrawn,N,262,F,A Level or Equivalent,10-20,1,North Western Region,120,0-35,1,"100,00",,-24,31,67,12
1021350FFF2014J,Fail,N,269,M,Lower Than A Level,10-20,0,London Region,90,55<=,3,"61,33",41.23898531375167,-128,274,701,115
102209CCC2014J,Withdrawn,N,269,F,A Level or Equivalent,10-20,0,Scotland,60,35-55,3,"54,33",54.05555555555556,-57,183,535,32
102221DDD2014J,Pass,N,262,F,HE Qualification,50-60%,0,Scotland,60,35-55,6,"79,83",78.75,-58,345,1025,82
102343FFF2013J,Pass,N,268,M,A Level or Equivalent,60-70%,0,East Anglian Region,60,0-35,12,"79,25",79.44586569209685,-66,866,3825,140
1023623CCC2014J,Pass,N,269,M,A Level or Equivalent,40-50%,0,East Anglian Region,120,35-55,3,"78,33",75.23529411764706,-22,313,1851,62
102806AAA2013J,Pass,N,268,M,A Level or Equivalent,30-40%,0,North Western Region,60,0-35,5,"78,00",76,-107,781,1944,75
102850DDD2013J,Pass,N,261,F,A Level or Equivalent,70-80%,0,South West Region,165,35-55,6,"78,33",70.15992198927353,-39,624,1749,141
102854FFF2014J,Distinction,N,269,M,Lower Than A Level,40-50%,0,South East Region,60,0-35,12,"89,42",87.79031521242575,-116,1305,4400,202
102952AAA2013J,Pass,N,268,M,HE Qualification,60-70%,0,London Region,60,0-35,5,"76,60",77.1,-100,313,1150,69
1031884CCC2014J,Distinction,N,269,M,A Level or Equivalent,80-90%,0,East Midlands Region,60,35-55,8,"92,13",93.46,-30,434,1717,87
1033968DDD2014J,Withdrawn,N,262,F,No Formal quals,0-10%,2,Wales,60,35-55,3,"58,33",55,-127,1,3,1
103496BBB2014J,Pass,N,262,F,Lower Than A Level,10-20,0,Ireland,60,35-55,5,"63,20",52.35,12,402,1221,95
1035023AAA2013J,Pass,N,268,F,Lower Than A Level,30-40%,0,London Region,60,35-55,5,"70,00",69.9,-87,572,1896,83
103800DDD2013J,Pass,N,261,M,A Level or Equivalent,40-50%,0,Wales,90,0-35,6,"55,17",43.862506094588014,-82,104,170,42
104213FFF2013J,Distinction,N,268,M,A Level or Equivalent,70-80%,0,South West Region,60,0-35,12,"84,75",92.36866148926451,-92,573,2245,146
1042726FFF2014J,Fail,N,269,M,A Level or Equivalent,30-40%,0,Scotland,60,35-55,12,"69,50",37.240749200548194,-79,375,2151,103
104476AAA2013J,Pass,N,268,M,Post Graduate Qualification,"",0,Ireland,60,35-55,5,"79,60",78.9,-109,992,4777,106
104480CCC2014J,Fail,N,269,M,No Formal quals,"",0,North Region,120,0-35,7,"88,00",84.28571428571429,-121,66,203,17
1045203AAA2014J,Pass,N,269,M,Lower Than A Level,0-10%,0,Wales,60,35-55,5,"79,40",79.4,-155,830,3533,82
104643DDD2013J,Pass,N,261,F,A Level or Equivalent,70-80%,0,South West Region,60,0-35,6,"74,50",70.0672842515846,-152,522,1496,110
104772DDD2013J,Withdrawn,N,261,M,A Level or Equivalent,70-80%,0,South West Region,60,35-55,2,"61,50",66.47272727272728,-40,355,816,90
104772DDD2014J,Fail,N,262,M,A Level or Equivalent,70-80%,1,South West Region,60,35-55,5,"66,60",70.73333333333333,-50,93,341,28
105125FFF2014J,Withdrawn,N,269,M,Lower Than A Level,0-10%,0,Yorkshire Region,60,0-35,1,"62,00",62,-61,174,558,42
105168CCC2014J,Fail,N,269,M,HE Qualification,70-80%,0,Scotland,60,0-35,3,"85,00",84,-18,190,540,56
105168EEE2013J,Fail,N,268,M,HE Qualification,70-80%,0,Scotland,90,0-35,2,"87,50",87.36363636363636,-39,122,567,30
1053702EEE2013J,Distinction,N,268,M,HE Qualification,60-70%,0,Scotland,90,35-55,4,"91,25",91.4,-46,417,1486,58
105413CCC2014J,Pass,N,269,M,HE Qualification,70-80%,0,South West Region,100,35-55,8,"66,50",59.58,-43,394,963,92
105523DDD2013J,Pass,N,261,M,HE Qualification,60-70%,0,Scotland,90,35-55,6,"50,17",35.03851779619698,-37,356,753,112
105527BBB2013J,Pass,N,268,F,HE Qualification,40-50%,0,Scotland,120,35-55,11,"83,18",79.76,-92,385,993,43
105629FFF2013J,Pass,N,268,M,A Level or Equivalent,10-20,0,South East Region,60,35-55,12,"87,33",89.2494289629968,-58,1439,5925,224
105851BBB2013J,Pass,Y,268,F,A Level or Equivalent,20-30%,0,West Midlands Region,60,0-35,10,"90,20",89.3170731707317,-29,187,385,33
105883BBB2013J,Pass,N,268,F,A Level or Equivalent,0-10%,0,North Western Region,60,35-55,11,"76,73",70.77,-29,1054,4022,66
105939FFF2014J,Pass,N,269,M,A Level or Equivalent,70-80%,0,North Region,60,0-35,12,"78,67",73.84330744632251,-50,648,2900,145
106095BBB2014J,Pass,N,262,F,A Level or Equivalent,70-80%,0,North Western Region,60,0-35,5,"59,60",71.35,-161,347,1243,104
106247AAA2013J,Withdrawn,N,268,M,HE Qualification,80-90%,0,South Region,60,35-55,3,"60,00",58.6,5,145,465,43
1064492FFF2013J,Distinction,N,268,M,HE Qualification,90-100%,0,South Region,120,35-55,12,"93,75",98,-22,1307,5053,139
